item-app-1  | 
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1   | 2024-04-28T16:42:25.563+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-04-28T16:42:25.564+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 97d2d63a-0161-4a35-99bf-60bf63f8c698
item-db-1   | 2024-04-28T16:42:25.576+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1   | 2024-04-28T16:42:25.577+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 22e30900-51d2-48df-8345-3bf54703adcb
item-db-1   | 2024-04-28T16:42:25.603+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2024-04-28T16:42:25.605+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1   | 2024-04-28T16:42:25.605+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 46105f49-56e7-4299-94de-a83e50c4774f
item-db-1   | 2024-04-28T16:42:25.605+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2024-04-28T16:42:25.605+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2024-04-28T16:42:25.629+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1   | 2024-04-28T16:42:25.629+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1   | 2024-04-28T16:42:25.637+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1   | 2024-04-28T16:42:26.880+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:51364 #1 (1 connection now open)
item-db-1   | 2024-04-28T16:42:26.927+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:51364 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.133.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1   | 2024-04-28T16:44:47.027+0000 I STORAGE  [conn1] createCollection: accumulator.documents with generated UUID: a69c6cdf-a4c2-41a2-9714-369b07492078
